"DATE_ID","REVIEWQUARTER","REVIEWMONTH","YEAR","WEEK"
20210101,"1 ","JAN","2021    ",1
20210102,"1 ","JAN","2021    ",2
20210103,"1 ","JAN","2021    ",3
20210104,"1 ","JAN","2021    ",4
20210205,"1 ","FEB","2021    ",5
20210206,"1 ","FEB","2021    ",6
20210207,"1 ","FEB","2021    ",7
20210208,"1 ","FEB","2021    ",8
20210309,"1 ","MAR","2021    ",9
20210310,"1 ","MAR","2021    ",10
20210311,"1 ","MAR","2021    ",11
20210312,"1 ","MAR","2021    ",12
20210413,"2 ","APR","2021    ",13
20210414,"2 ","APR","2021    ",14
20210415,"2 ","APR","2021    ",15
20210416,"2 ","APR","2021    ",16
20210517,"2 ","MAY","2021    ",17
20210518,"2 ","MAY","2021    ",18
20210519,"2 ","MAY","2021    ",29
20210520,"2 ","MAY","2021    ",20
20210621,"2 ","JUN","2021    ",21
20210622,"2 ","JUN","2021    ",22
20210623,"2 ","JUN","2021    ",23
20210624,"2 ","JUN","2021    ",24
20210725,"3 ","JUL","2021    ",25
20210726,"3 ","JUL","2021    ",26
20210727,"3 ","JUL","2021    ",27
20210728,"3 ","JUL","2021    ",28
20210829,"3 ","AUG","2021    ",29
20210830,"3 ","AUG","2021    ",30
20210831,"3 ","AUG","2021    ",31
20210832,"3 ","AUG","2021    ",32
20210933,"3 ","SEP","2021    ",33
20210934,"3 ","SEP","2021    ",34
20210935,"3 ","SEP","2021    ",35
20210936,"3 ","SEP","2021    ",36
20211037,"4 ","OCT","2021    ",37
20211038,"4 ","OCT","2021    ",38
20211039,"4 ","OCT","2021    ",39
20211040,"4 ","OCT","2021    ",40
20211141,"4 ","NOV","2021    ",41
20211142,"4 ","NOV","2021    ",42
20211143,"4 ","NOV","2021    ",43
20211144,"4 ","NOV","2021    ",44
20211245,"4 ","DEC","2021    ",45
20211246,"4 ","DEC","2021    ",46
20211247,"4 ","DEC","2021    ",47
20211248,"4 ","DEC","2021    ",48
20220101,"1 ","JAN","2022    ",1
20220102,"1 ","JAN","2022    ",2
20220103,"1 ","JAN","2022    ",3
20220104,"1 ","JAN","2022    ",4
20220205,"1 ","FEB","2022    ",5
20220206,"1 ","FEB","2022    ",6
20220207,"1 ","FEB","2022    ",7
20220208,"1 ","FEB","2022    ",8
20220309,"1 ","MAR","2022    ",9
20220310,"1 ","MAR","2022    ",10
20220311,"1 ","MAR","2022    ",11
20220312,"1 ","MAR","2022    ",12
20220413,"2 ","APR","2022    ",13
20220414,"2 ","APR","2022    ",14
20220415,"2 ","APR","2022    ",15
20220416,"2 ","APR","2022    ",16
20220517,"2 ","MAY","2022    ",17
20220518,"2 ","MAY","2022    ",18
20220519,"2 ","MAY","2022    ",19
20220520,"2 ","MAY","2022    ",20
20220621,"2 ","JUN","2022    ",21
20220622,"2 ","JUN","2022    ",22
20220623,"2 ","JUN","2022    ",23
20220624,"2 ","JUN","2022    ",24
